Combinations List
Safe	Peg		Key
(001)	(019)	1
(011)	(009)	1
(101)	(018)	1
(101)	(129)	1
(102)	(029)	2
(111)	(008)	1
(111)	(119)	1
(112)	(019)	2
(121)	(109)	1
(122)	(009)	2
(201)	(017)	1
(201)	(128)	1
(201)	(239)	1
(202)	(028)	2
(202)	(139)	2
(211)	(007)	1
(211)	(118)	1
(211)	(229)	1
(212)	(018)	2
(212)	(129)	2
(221)	(108)	1
(221)	(219)	1
(222)	(008)	2
(222)	(119)	2
(231)	(209)	1
(232)	(109)	2
(311)	(006)	1
(311)	(117)	1
(311)	(228)	1
(311)	(339)	1
(312)	(017)	2
(312)	(128)	2
(312)	(239)	2
(321)	(107)	1
(321)	(218)	1
(321)	(329)	1
(322)	(007)	2
(322)	(118)	2
(322)	(229)	2
(331)	(208)	1
(331)	(319)	1
(332)	(108)	2
(332)	(219)	2
(341)	(309)	1
(342)	(209)	2
(401)	(015)	1
(401)	(126)	1
(401)	(237)	1
(401)	(348)	1
(401)	(459)	1
(402)	(026)	2
(402)	(137)	2
(402)	(248)	2
(402)	(359)	2
(421)	(106)	1
(421)	(217)	1
(421)	(328)	1
(421)	(439)	1
(422)	(006)	2
(422)	(117)	2
(422)	(228)	2
(422)	(339)	2
(431)	(207)	1
(431)	(318)	1
(431)	(429)	1
(432)	(107)	2
(432)	(218)	2
(432)	(329)	2
(441)	(308)	1
(441)	(419)	1
(442)	(208)	2
(442)	(319)	2
(451)	(409)	1
(452)	(309)	2
(501)	(014)	1
(501)	(125)	1
(501)	(236)	1
(501)	(347)	1
(501)	(458)	1
(501)	(569)	1
(502)	(025)	2
(502)	(136)	2
(502)	(247)	2
(502)	(358)	2
(502)	(469)	2
(506)	(069)	6
(511)	(004)	1
(511)	(115)	1
(511)	(226)	1
(511)	(337)	1
(511)	(448)	1
(511)	(559)	1
(512)	(015)	2
(512)	(126)	2
(512)	(237)	2
(512)	(348)	2
(512)	(459)	2
(531)	(206)	1
(531)	(317)	1
